cohort_month,cohort_index,retention
2017-10,9,0.0018484288354898
2017-11,9,0.0005665722379603
2016-09,10,0.0
2016-10,10,0.0
2016-12,10,0.0
2017-01,10,0.00418410041841
2017-02,10,0.0012285012285012
2017-03,10,0.0035956851777866
2017-04,10,0.0026595744680851
2017-05,10,0.0026079397276151
2017-06,10,0.0029634507737899
2017-07,10,0.0021321961620469
2017-08,10,0.002464875523786
2017-09,10,0.0024975024975024
2017-10,10,0.002079482439926
2016-09,11,0.0
2016-10,11,0.0038167938931297
2016-12,11,0.0
2017-01,11,0.00139470013947
2017-02,11,0.003071253071253
2017-03,11,0.0011985617259288
2017-04,11,0.000886524822695
2017-05,11,0.0034772529701535
2017-06,11,0.0036219953901876
2017-07,11,0.0029317697228144
2017-08,11,0.0019719004190288
2017-09,11,0.0007492507492507
2016-09,12,0.0
2016-10,12,0.0
2016-12,12,0.0
2017-01,12,0.00697350069735
2017-02,12,0.0012285012285012
2017-03,12,0.0019976028765481
2017-04,12,0.0004432624113475
2017-05,12,0.002318168646769
2017-06,12,0.0016463615409944
2017-07,12,0.0013326226012793
2017-08,12,0.001232437761893
2016-09,13,0.0
2016-10,13,0.0038167938931297
2016-12,13,0.0
2017-01,13,0.00418410041841
2017-02,13,0.0018427518427518
2017-03,13,0.0011985617259288
2017-04,13,0.0004432624113475
2017-05,13,0.0002897710808461
2017-06,13,0.0016463615409944
2017-07,13,0.0023987206823027
2016-09,14,0.0
2016-10,14,0.0
2016-12,14,0.0
2017-01,14,0.00139470013947
2017-02,14,0.0012285012285012
2017-03,14,0.0015980823012385
2017-04,14,0.000886524822695
2017-05,14,0.0017386264850767
2017-06,14,0.0023049061573921
2016-09,15,0.0
2016-10,15,0.0038167938931297
2016-12,15,0.0
2017-01,15,0.00139470013947
2017-02,15,0.0006142506142506
2017-03,15,0.0023971234518577
2017-04,15,0.000886524822695
2017-05,15,0.0020283975659229
2016-09,16,0.0
2016-10,16,0.0
2016-12,16,0.0
2017-01,16,0.00278940027894
2017-02,16,0.0006142506142506
2017-03,16,0.0007990411506192
2017-04,16,0.0013297872340425
2016-09,17,0.0
2016-10,17,0.0038167938931297
2016-12,17,0.0
2017-01,17,0.00418410041841
2017-02,17,0.0018427518427518
2017-03,17,0.0011985617259288
2016-09,19,0.0
2016-10,19,0.0076335877862595
2016-12,19,0.0
2017-01,19,0.00139470013947
2016-09,20,0.0
2016-10,20,0.0076335877862595
2016-12,20,0.0
